new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
347,Germany,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",Kiedrich Gräfenberg Trockenbeerenauslese,97,775,Rheingau,,,Anna Lee C. Iijima,,Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling,Riesling,Robert Weil
348,Australia,"Deep mahogany. Dried fig and black tea on the nose, then concentrated mocha and molasses flavors, enlivened by candied orange zest. Full, rich and sweet, but surprisingly drinkable, with terrific intensity and length.",Grand,97,100,Victoria,Rutherglen,,Joe Czerwinski,@joecz,Chambers Rosewood Vineyards Nv Grand Muscat,Moscato,Chambers Rosewood Vineyards
349,Australia,"RunRig is always complex, and the 2012 doesn't disappoint in that regard, mixing bacony-meaty notes with hints of black olives and ripe plums. The tannins are supremely supple, but the acids are crisp, resulting in a long, mouthwatering finish. Drink now–2030.",Runrig,97,225,South Australia,Barossa,,Joe Czerwinski,@joecz,Torbreck 2012 Runrig Shiraz-viognier,Shiraz-viognier,Torbreck
350,Italy,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",Vignolo Riserva,97,150,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Cavallotto 2010 Vignolo Riserva,Nebbiolo,Cavallotto
351,Hungary,"This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly baked tarte Tatin, canned apricot and fresh pear. It is silky smooth and creamy in the mouth with pronounced flavors of clover honey, pear tart and baked sweet apples. The acidity is perfectly balanced so you can appreciate its velvety richness without feeling that the sweetness is too cloying.",Eszencia,96,320,Tokaji,,,Jeff Jenssen,@worldwineguys,Oremus 2005 Eszencia,Furmint,Oremus
352,United States,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",South River,96,68,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 South River Chardonnay,Chardonnay,Rochioli
353,France,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Le Montrachet,96,630,Burgundy,Montrachet,,Roger Voss,@vossroger,Louis Latour 2014 Le Montrachet,Chardonnay,Louis Latour
354,Germany,"Whiffs of white mushroom, saffron and caramel lend complexity to this concentrated elixir of apricots and orange peels. It's honeyed and sweet but vivaciously balanced, glazing the palate in ethereal textures of gossamer and tulle. The caramel finish lingers endlessly.",Kiedrich Gräfenberg Beerenauslese,96,365,Rheingau,,,Anna Lee C. Iijima,,Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling,Riesling,Robert Weil
355,United States,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",Sweetwater,96,68,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 Sweetwater Chardonnay,Chardonnay,Rochioli
356,Australia,"Dusty, firm, powerful: just a few apt descriptors for this vintage of one of Heathcote's top wines. Mocha, licorice and blackberries feature on the nose, while the palate delivers more of the same—dark fruit, chocolate and plenty of spice. Best after 2020.",Georgia's Paddock,95,85,Victoria,Heathcote,,Joe Czerwinski,@joecz,Jasper Hill 2013 Georgia's Paddock Shiraz,Shiraz,Jasper Hill
357,France,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",Vieilles Vignes,95,350,Burgundy,Clos De Vougeot,,Roger Voss,@vossroger,Château De La Tour 2013 Vieilles Vignes,Pinot Noir,Château De La Tour
358,Germany,"Intensely fragrant, this honey-sweet auslese wafts of ripe yellow peaches and caramelized sugar. Tropical mango, pineapple and melon collide on the palate before falling neatly in line against a strike of high-toned acidity. The finish is luxuriously long, peppered by a faint dusting of saffron. It's a stunner already but should shine brightly for decades to come.",Hattenheimer Hassel Auslese,95,66,Rheingau,,,Anna Lee C. Iijima,,Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling,Riesling,Weingut Hans Bausch
359,France,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2020.",Les Chenevottes Premier Cru,95,110,Burgundy,Chassagne-montrachet,,Roger Voss,@vossroger,Philippe Colin 2014 Les Chenevottes Premier Cru,Chardonnay,Philippe Colin
360,Australia,"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now–2030.",Descendant,95,125,South Australia,Barossa Valley,,Joe Czerwinski,@joecz,Torbreck 2012 Descendant Shiraz-viognier,Shiraz-viognier,Torbreck
361,Italy,"Enticing scents of ripe berry, underbrush, grilled herb and eucalyptus mingle together along with an underlying fragrance of rose petal. Elegant and fresh, the impeccably balanced palate delivers tart red cherry, cake spice, white pepper and mineral nuances alongside polished tannins. Drink 2018–2028.",Simposio,95,60,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Bel Colle 2012 Simposio,Nebbiolo,Bel Colle
362,United States,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",Jamie,95,200,California,Diamond Mountain District,Napa,Virginie Boone,@vboone,J. Davies 2012 Jamie Cabernet Sauvignon,Cabernet Sauvignon,J. Davies
363,France,"This is an opulent wine from one of the fabled series of white Grand Crus. Along with generous yellow fruits and ripe citrus, it has weight and gravitas. Spice from the wood fills things out even more, giving the wine its balance, its intensity and its future. Drink from 2022.",,95,380,Burgundy,Criots-bâtard-montrachet,,Roger Voss,@vossroger,Louis Latour 2014 Criots-bâtard-montrachet,Chardonnay,Louis Latour
364,United States,"For 2014, the Weber is the star of a very fine Winderlea lineup. Dark and deeply concentrated, it's jammed with black cherry fruit, annotated with anise and showing a hint of gunmetal. The tannins are ripe and taste of clean earth. This is a fine candidate for aging. Drink now through 2030.",Weber Vineyard,95,48,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine,Winderlea 2014 Weber Vineyard Pinot Noir,Pinot Noir,Winderlea
365,Australia,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",St. Andrews Single Vineyard Release,95,60,South Australia,Clare Valley,,Joe Czerwinski,@joecz,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz,Shiraz,Wakefield
366,Italy,"This spends 12 months in oak and it shows: It offers aromas of liquid smoke and flavors of brown sugar, honey and caramel. The fruit is subdued, leaving the emphasis on the oak and mineral components. Try with rich but delicately flavored fish dishes or mild chèvres.",Vorberg,88,21,Northeastern Italy,Alto Adige,,Joe Czerwinski,@joecz,Cantina Terlano 2000 Vorberg Pinot Bianco,Pinot Bianco,Cantina Terlano
367,Chile,"Aromas of mint, berry syrup and dense, lemony oak lay a good foundation for the heavy black fruit that comes on the palate atop a plush carpet of toasty, fresh-grained wood. The finish is round, tasty and mouthfilling, while overall the wine seems to dance due to popping acidity. This is Carmenère with a vital streak.",Reserve De La Familia,88,10,Maipo Valley,,,Michael Schachner,@wineschach,De Martino 1999 Reserva De La Familia Carmenère,Carmenère,De Martino
368,Italy,"A plump, juicy mouthful of citrusy fruit, worth trying with grilled or broiled seafood. The zesty lime aromas broaden out on the palate to include orange and tangerine flavors, making it tart but not too tart. Best Buy.",,88,11,Veneto,Bianco Di Custoza,,Joe Czerwinski,@joecz,Montresor 2001 Bianco Di Custoza,Garganega,Montresor
369,Italy,"This medium-weight wine flows effortlessly from start to finish, blending aromas of smoke and nuts with a citrusy core. Picks up savory nutty, cheesy notes (like a good Gruyère) on the long finish.",,88,21,Northeastern Italy,Friuli,,Joe Czerwinski,@joecz,Ronco Del Gelso 1999 Chardonnay,Chardonnay,Ronco Del Gelso
370,United States,"Mint again, with earth and tobacco; one taster found traces of bell pepper. Coffee and brown sugar further soften a supple, mature mouthfeel. Drink now.",Cherryblock Vineyard,88,160,California,Sonoma Valley,Sonoma,,,Sebastiani 1991 Cherryblock Vineyard Cabernet Sauvignon,Cabernet Sauvignon,Sebastiani
371,Italy,"Fragrant, aromatic, grassy aromas give way to fresh, crisp, green fruit and gooseberry flavors. Finishes lively and vibrant.",Castel Ringberg,88,23,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,Elena Walch 2002 Castel Ringberg Sauvignon Blanc,Sauvignon Blanc,Elena Walch
372,Italy,"A fresh, crisp style of Soave, brimming with green plum and light acidity. It has concentration and a light touch in equal measure.",Classico,88,10,Veneto,Soave,,Roger Voss,@vossroger,Gini 2002 Classico,White Blend,Gini
373,Italy,"Crisp, green, grassy wine with fresh acidity and herbeceous character. It is very New World with its tropical flavors and open, forward fruit.",I Fiori Del Borgo,88,15,Northeastern Italy,Collio,,Roger Voss,@vossroger,Borgo Conventi 2002 I Fiori Del Borgo Sauvignon Blanc,Sauvignon Blanc,Borgo Conventi
374,United States,"An irresistibly drinkable white wine, filled with the juiciest flavors of citrus fruits, fig, melon and peach, and just the tiniest bit sweet. Crisp acidity cleanses the palate and leaves it feeling minty fresh on the long, spicy finish.",Kathleen's Vineyard,88,19,California,Mendocino County,,,,Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc,Sauvignon Blanc,Ceago Vinegarden
375,Italy,"A soft, ripe wine that manages to showcase tobacco, earth and black cherry flavors in a relatively lightweight format, finishing long and tart.",Vino In Musica,88,40,Tuscany,Tuscany,,,,Valiano 1997 Vino In Musica Sangiovese,Sangiovese,Valiano
376,Italy,"A well-judged, well-structured wine that balances fresh, crisp and light fruit against flavors of peaches, almonds and cinnamon. It will be better in two or three years' time.",Zuc De Volpe,88,18,Northeastern Italy,Colli Orientali Del Friuli,,Roger Voss,@vossroger,Volpe Pasini 2002 Zuc De Volpe Pinot Grigio,Pinot Grigio,Volpe Pasini
377,Greece,"A fresh, tangy, vibrant wine that has ripe green plum and apple flavors alongside a layer of full, forward fruit.",Vigneto Massoni,88,0,Naoussa,,,Roger Voss,@vossroger,Zenato 2001 Vigneto Massoni White,White Blend,Zenato
378,Mexico,"The color is appropriately light, the aromas appropriately floral and rose-like. Fleshy cherry flavors are balanced by a helping of greens and flowers. Light and elegant. Who would've thought Nebbiolo like this could come from Mexico?",Private Reserve,88,18,Valle De Guadalupe,,,,,L.A. Cetto 1996 Private Reserve Nebbiolo,Nebbiolo,L.A. Cetto
379,Italy,"This blend of Chardonnay, Nosiola and Pinot Bianco offers up apples and cream on the nose, along with flavors of peach and citrus. It's a comfortable mix of fruit that finishes lively and fresh, making it a fine apéritif.",Bianco Dei Sorni,88,15,Northeastern Italy,Trentino,,Joe Czerwinski,@joecz,La Vis 2001 Bianco Dei Sorni White,White Blend,La Vis
380,Chile,"At first this is aggressive, with an aromatic note of wet dog along with blueberries. But soon it finds its legs and opens to display chocolate, espresso and a big batch of black plum and blackberry. The finish has full tannins and some coffee-like flavor. Currently it's wall-to-wall big, but it should settle down in no time and become a good red to drink on any occasion.",Estate,88,12,Rapel Valley,,,Michael Schachner,@wineschach,Lapostolle 2002 Estate Bottled Merlot,Merlot,Lapostolle
